[['15AO002', 'A', 'R.A.S'],
 ['15KF110', 'A', 'R.A.S'],
 ['15KK113', 'A', 'R.A.S'],
 ['15KK117', 'P', 'R.A.S'],
 ['15KT119', 'A', 'R.A.S'],
 ['15KT120', 'A', 'R.A.S'],
 ['14KB094', 'A', 'R.A.S'],
 ['15KN121', 'A', 'R.A.S'],
 ['15KK122', 'P', 'R.A.S'],
 ['15KK123', 'A', 'R.A.S'],
 ['14KK097', 'P', 'R.A.S'],
 ['15KK124', 'P', 'R.A.S'],
 ['13KA079', 'A', 'R.A.S'],
 ['14KM101', 'P', 'R.A.S'],
 ['14KB105', 'P', 'R.A.S'],
 ['14KT108', 'A', 'R.A.S'],
 ['14KL109', 'A', 'R.A.S'],
 ['15KM134', 'A', 'R.A.S'],
 ['15KM135', 'A', 'R.A.S'],
 ['14KM114', 'P', 'R.A.S'],
 ['', 'P', 'R.A.S'],
 ['15KK142', 'P', 'R.A.S'],
 ['15KM143', 'A', 'R.A.S'],
 ['15KS147', 'A', 'R.A.S'],
 ['15KW148', 'A', 'R.A.S'],
 ['14KK125', 'A', 'R.A.S'],
 ['14KM126', 'P', 'R.A.S'],
 ['15KK149', 'P', 'R.A.S'],
 ['15KT151', 'P', 'R.A.S'],
 ['15KB153', 'A', 'R.A.S'],
 ['15KK154', 'A', 'R.A.S'],
 ['14KM130', 'A', 'R.A.S'],
 ['15KY157', 'P', 'R.A.S'],
 ['15KS159', 'P', 'R.A.S'],
 ['15KM160', 'A', 'R.A.S'],
 ['15KB161', 'P', 'R.A.S'],
 ['15KM162', 'A', 'R.A.S'],
 ['14KM136', 'A', 'R.A.S'],
 ['13KA125', 'A', 'R.A.S'],
 ['15KK163', 'A', 'R.A.S'],
 ['15KU164', 'A', 'R.A.S'],
 ['15KM165', 'P', 'R.A.S'],
 ['15KK167', 'A', 'R.A.S'],
 ['14KA140', 'A', 'R.A.S'],
 ['15KN168', 'P', 'R.A.S'],
 ['15KM170', 'P', 'R.A.S'],
 ['13KI136', 'A', 'R.A.S'],
 ['15KN171', 'P', 'R.A.S'],
 ['15KK172', 'P', 'R.A.S'],
 ['15KS173', 'A', 'R.A.S'],
 ['15KK174', 'P', 'R.A.S'],
 ['15KM175', 'A', 'R.A.S'],
 ['15KK177', 'P', 'R.A.S'],
 ['15KN178', 'A', 'R.A.S'],
 ['15KM180', 'P', 'R.A.S'],
 ['15KL182', 'A', 'R.A.S'],
 ['15KN191', 'P', 'R.A.S'],
 ['15KM192', 'A', 'R.A.S'],
 ['14KN174', 'P', 'R.A.S'],
 ['15LK196', 'P', 'R.A.S'],
 ['14LK178', 'P', 'R.A.S'],
 ['15LK200', 'P', 'R.A.S'],
 ['14LK181', 'A', 'R.A.S'],
 ['14LM182', 'A', 'R.A.S'],
 ['15LK201', 'A', 'R.A.S'],
 ['14LE186', 'A', 'R.A.S'],
 ['14LF188', 'A', 'R.A.S'],
 ['14LK191', 'P', 'R.A.S'],
 ['13MA117', 'A', 'R.A.S'],
 ['15MM207', 'P', 'R.A.S'],
 ['15MW208', 'P', 'R.A.S'],
 ['15MT209', 'A', 'R.A.S'],
 ['15MK211', 'P', 'R.A.S'],
 ['15MN454', 'P', 'R.A.S'],
 ['14MM207', 'P', 'R.A.S'],
 ['15MK212', 'A', 'R.A.S'],
 ['15MT213', 'P', 'R.A.S'],
 ['15ML214', 'P', 'R.A.S'],
 ['15ML217', 'P', 'R.A.S'],
 ['15MS219', 'A', 'R.A.S'],
 ['15MK220', 'A', 'R.A.S'],
 ['15MK221', 'P', 'R.A.S'],
 ['15MK222', 'A', 'R.A.S'],
 ['15MS223', 'A', 'R.A.S'],
 ['14MD214', 'P', 'R.A.S'],
 ['15MN224', 'P', 'R.A.S'],
 ['15MM225', 'A', 'R.A.S'],
 ['15MM226', 'P', 'R.A.S'],
 ['15MK227', 'A', 'R.A.S'],
 ['15MK230', 'A', 'R.A.S'],
 ['15ML231', 'P', 'R.A.S'],
 ['14MW217', 'A', 'R.A.S'],
 ['15MM232', 'P', 'R.A.S'],
 ['13MB191', 'A', 'R.A.S'],
 ['15MK234', 'P', 'R.A.S'],
 ['15MW235', 'A', 'R.A.S'],
 ['15MM238', 'P', 'R.A.S'],
 ['14MM221', 'A', 'R.A.S'],
 ['15MT239', 'P', 'R.A.S'],
 ['15MM241', 'P', 'R.A.S'],
 ['15MN242', 'P', 'R.A.S'],
 ['15MD244', 'A', 'R.A.S'],
 ['15MK246', 'A', 'R.A.S'],
 ['14MT232', 'A', 'R.A.S'],
 ['15MK250', 'P', 'R.A.S'],
 ['14MK239', 'P', 'R.A.S'],
 ['15ML253', 'A', 'R.A.S'],
 ['15MW254', 'A', 'R.A.S'],
 ['15MW255', 'A', 'R.A.S'],
 ['14MM243', 'P', 'R.A.S'],
 ['15MK258', 'A', 'R.A.S'],
 ['15MN259', 'P', 'R.A.S'],
 ['15MW261', 'P', 'R.A.S'],
 ['15MN263', 'P', 'R.A.S'],
 ['15MT265', 'A', 'R.A.S'],
 ['15MK268', 'P', 'R.A.S'],
 ['14MW250', 'A', 'R.A.S'],
 ['15MJ271', 'A', 'R.A.S'],
 ['15MW272', 'P', 'R.A.S'],
 ['15MM274', 'P', 'R.A.S'],
 ['15MA275', 'A', 'R.A.S'],
 ['15MK276', 'P', 'R.A.S'],
 ['15MM277', 'A', 'R.A.S'],
 ['15MM278', 'P', 'R.A.S'],
 ['15MM279', 'A', 'R.A.S'],
 ['15MB280', 'P', 'R.A.S'],
 ['15MN281', 'P', 'R.A.S'],
 ['15MB285', 'A', 'R.A.S'],
 ['15MN286', 'A', 'R.A.S'],
 ['14MN268', 'P', 'R.A.S'],
 ['15MW287', 'A', 'R.A.S'],
 ['14MM270', 'A', 'R.A.S'],
 ['12MU157', 'P', 'R.A.S'],
 ['15MM288', 'A', 'R.A.S'],
 ['15MK289', 'P', 'R.A.S'],
 ['15MP290', 'P', 'R.A.S'],
 ['15MT291', 'A', 'R.A.S'],
 ['15MK292', 'P', 'R.A.S'],
 ['15MK293', 'A', 'R.A.S'],
 ['15MK294', 'P', 'R.A.S'],
 ['15MM295', 'P', 'R.A.S'],
 ['15MK296', 'A', 'R.A.S'],
 ['15MA297', 'P', 'R.A.S'],
 ['15MC298', 'P', 'R.A.S'],
 ['15MK299', 'A', 'R.A.S'],
 ['14MA279', 'A', 'R.A.S'],
 ['15MM304', 'P', 'R.A.S'],
 ['14MT281', 'A', 'R.A.S'],
 ['15MT305', 'A', 'R.A.S'],
 ['15MM306', 'P', 'R.A.S'],
 ['13MU251', 'A', 'R.A.S'],
 ['15MA307', 'P', 'R.A.S'],
 ['15MI308', 'P', 'R.A.S'],
 ['15ML309', 'A', 'R.A.S'],
 ['15MK312', 'P', 'R.A.S'],
 ['15MM315', 'A', 'R.A.S'],
 ['15MT316', 'P', 'R.A.S'],
 ['14MM300', 'P', 'R.A.S'],
 ['14MT303', 'P', 'R.A.S'],
 ['14MK307', 'A', 'R.A.S'],
 ['14MK308', 'P', 'R.A.S'],
 ['15MM322', 'P', 'R.A.S'],
 ['14MK313', 'A', 'R.A.S'],
 ['15MK324', 'A', 'R.A.S'],
 ['15MN326', 'P', 'R.A.S'],
 ['15MM327', 'P', 'R.A.S'],
 ['15MM328', 'P', 'R.A.S'],
 ['14MN325', 'P', 'R.A.S'],
 ['15MN336', 'P', 'R.A.S'],
 ['15MK337', 'A', 'R.A.S'],
 ['15NF338', 'A', 'R.A.S'],
 ['15NI340', 'P', 'R.A.S'],
 ['15NT342', 'A', 'R.A.S'],
 ['15NS343', 'A', 'R.A.S'],
 ['15NB344', 'P', 'R.A.S'],
 ['15NK346', 'A', 'R.A.S'],
 ['15NK347', 'A', 'R.A.S'],
 ['15NM348', 'A', 'R.A.S'],
 ['13NG287', 'P', 'R.A.S'],
 ['15NI350', 'A', 'R.A.S'],
 ['15NK352', 'A', 'R.A.S'],
 ['15NW353', 'A', 'R.A.S'],
 ['15NN354', 'P', 'R.A.S'],
 ['15NB355', 'A', 'R.A.S'],
 ['15NK356', 'A', 'R.A.S'],
 ['15NM360', 'P', 'R.A.S'],
 ['15NW364', 'P', 'R.A.S'],
 ['14NK364', 'A', 'R.A.S'],
 ['15ND366', 'P', 'R.A.S'],
 ['15NI367', 'P', 'R.A.S'],
 ['15NL369', 'P', 'R.A.S'],
 ['15NW370', 'A', 'R.A.S'],
 ['14NM366', 'A', 'R.A.S'],
 ['15NI371', 'A', 'R.A.S'],
 ['15NM372', 'A', 'R.A.S'],
 ['15NK373', 'P', 'R.A.S'],
 ['14NW368', 'A', 'R.A.S'],
 ['15NC375', 'A', 'R.A.S'],
 ['15NP376', 'P', 'R.A.S'],
 ['15NM378', 'P', 'R.A.S'],
 ['14NL377', 'P', 'R.A.S'],
 ['15NT382', 'P', 'R.A.S'],
 ['15NN384', 'A', 'R.A.S'],
 ['15NK386', 'A', 'R.A.S'],
 ['15NN387', 'P', 'R.A.S'],
 ['15NK388', 'P', 'R.A.S'],
 ['15NM390', 'P', 'R.A.S'],
 ['15NM391', 'A', 'R.A.S'],
 ['15NS392', 'P', 'R.A.S'],
 ['15NA394', 'A', 'R.A.S'],
 ['15NM396', 'A', 'R.A.S'],
 ['15OK397', 'P', 'R.A.S'],
 ['13OM334', 'P', 'R.A.S'],
 ['15ON399', 'P', 'R.A.S'],
 ['15PM401', 'A', 'R.A.S'],
 ['14SM387', 'A', 'R.A.S'],
 ['15SB403', 'P', 'R.A.S'],
 ['14SK388', 'A', 'R.A.S'],
 ['14SM390', 'P', 'R.A.S'],
 ['15SO408', 'A', 'R.A.S'],
 ['15SL409', 'P', 'R.A.S'],
 ['15SK411', 'P', 'R.A.S'],
 ['15SL412', 'A', 'R.A.S'],
 ['15SS413', 'A', 'R.A.S'],
 ['14SK396', 'P', 'R.A.S'],
 ['15SK416', 'P', 'R.A.S'],
 ['14SK403', 'P', 'R.A.S'],
 ['15TN417', 'A', 'R.A.S'],
 ['15TS418', 'P', 'R.A.S'],
 ['15TR419', 'A', 'R.A.S'],
 ['15TN420', 'A', 'R.A.S'],
 ['14TZ411', 'P', 'R.A.S'],
 ['14TK414', 'A', 'R.A.S'],
 ['15TB422', 'P', 'R.A.S'],
 ['15TM424', 'P', 'R.A.S'],
 ['15TB425', 'P', 'R.A.S'],
 ['15TT426', 'A', 'R.A.S'],
 ['15TY428', 'P', 'R.A.S'],
 ['15TM429', 'P', 'R.A.S'],
 ['15TK431', 'A', 'R.A.S'],
 ['15TM432', 'A', 'R.A.S'],
 ['15TM433', 'P', 'R.A.S'],
 ['15TM434', 'A', 'R.A.S'],
 ['15TK435', 'P', 'R.A.S'],
 ['15TM438', 'A', 'R.A.S'],
 ['15TK439', 'P', 'R.A.S'],
 ['15TK440', 'A', 'R.A.S'],
 ['15TK442', 'A', 'R.A.S'],
 ['15TN444', 'A', 'R.A.S'],
 ['15UK445', 'P', 'R.A.S'],
 ['14UM435', 'A', 'R.A.S'],
 ['15UM446', 'A', 'R.A.S'],
 ['15WT447', 'P', 'R.A.S'],
 ['15WO448', 'A', 'R.A.S'],
 ['15WN449', 'A', 'R.A.S'],
 ['15YN450', 'P', 'R.A.S'],
 ['15YB451', 'P', 'R.A.S']]
